Rreview,review_type,creation_date,movie_id,user_id
"Lorem Ipsumÿis simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",neutral,2021-07-13,1,1
"It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).",positive,2021-08-19,2,2
"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, ""Lorem ipsum dolor sit amet.."", comes from a line in section 1.10.32.",positive,2021-11-11,3,3
"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words which don't look even slightly believable. If you are going to use a passage of Lorem Ipsum, you need to be sure there isn't anything embarrassing hidden in the middle of text. All the Lorem Ipsum generators on the Internet tend to repeat predefined chunks as necessary, making this the first true generator on the Internet. It uses a dictionary of over 200 Latin words, combined with a handful of model sentence structures, to generate Lorem Ipsum which looks reasonable. The generated Lorem Ipsum is therefore always free from repetition, injected humour, or non-characteristic words etc.",negative,2021-12-10,4,4
"Nulla facilisi. Integer in nibh tristique, sodales enim ut, lacinia risus. Donec volutpat massa nec posuere facilisis. Praesent iaculis, turpis eget varius cursus, nisl nisi iaculis ex, molestie interdum justo augue vitae ex. Mauris nec nisl pellentesque justo vulputate lobortis laoreet in dui. Maecenas varius neque ut diam ornare dignissim. Cras sed lobortis sem. Pellentesque ut vulputate nulla, vel elementum velit. Vivamus maximus massa ut lacinia accumsan. Nulla sodales leo a erat rutrum, non tempor eros pharetra. Fusce sagittis sodales ornare. Mauris egestas justo ut metus laoreet tristique. Vestibulum id porttitor mauris. Fusce ac metus ac orci molestie fermentum.",neutral,2021-12-20,5,5
"Fusce fringilla dapibus justo, in pharetra mauris pharetra et. Aenean molestie leo leo, eu lacinia neque pulvinar id. Sed consequat rhoncus magna non consequat. Ut malesuada justo nec nisi imperdiet hendrerit. Etiam ante ante, condimentum eget tellus id, gravida fringilla leo. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Integer tincidunt nulla id sapien tincidunt, non gravida arcu mollis. Aliquam eu libero eu lectus scelerisque cursus suscipit et lorem. Nullam porta magna eu elit congue, et consectetur eros faucibus. Integer magna lacus, lacinia et euismod at, commodo sit amet mi. Phasellus eget sapien finibus nulla facilisis commodo elementum scelerisque risus.",negative,2021-12-21,6,6
"Curabitur rutrum, dui porta lobortis ornare, nulla lacus sollicitudin libero, vitae bibendum mi lectus in dui. Nam fringilla, ex sit amet condimentum hendrerit, libero eros congue nunc, a commodo nisl tortor eu elit. Mauris varius, magna ac dapibus ullamcorper, velit nulla auctor nisi, id ullamcorper turpis nibh vel libero. Ut nec augue sem. Nulla facilisis condimentum dui id pulvinar. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Vivamus ac diam justo. Quisque vel eleifend erat. Donec feugiat lectus id odio ornare posuere maximus tincidunt metus. Donec suscipit, velit et aliquet tincidunt, ligula enim pulvinar tellus, in blandit mi metus at nisl. Vivamus commodo eros erat, in condimentum eros auctor sed. Curabitur accumsan leo vitae libero blandit pharetra id a nisi. Nulla ut dolor a nulla finibus venenatis quis eu ligula. Etiam tortor massa, mattis a interdum ac, elementum id leo. Nam risus nisl, varius eu commodo vulputate, sollicitudin nec lorem.",positive,2022-02-11,7,7
"Quisque luctus euismod sapien non finibus. Morbi lobortis, enim suscipit tempor pretium, purus risus finibus sapien, a luctus arcu libero vehicula nisi. Sed placerat, sem ut mattis mattis, tellus felis elementum libero, id dignissim erat massa sit amet mauris. Pellentesque dignissim elit at risus blandit dapibus. Vivamus sollicitudin luctus consequat. Curabitur faucibus tristique facilisis. Aliquam semper, ante in porttitor egestas, ligula lectus ornare arcu, et porttitor ipsum justo eu sapien. Duis aliquet facilisis dolor eu ultrices. Phasellus semper sapien tellus, vel ullamcorper ante luctus semper. Curabitur ac urna pretium, auctor diam quis, consectetur risus. Morbi dapibus quis ex a aliquet. Donec in mauris a erat pellentesque scelerisque. Sed vitae sagittis felis. Quisque nibh arcu, pretium ut varius a, dictum eu turpis.",neutral,2022-02-25,8,8
"Ut sit amet dolor viverra, fringilla enim eu, sagittis tellus. Nullam eu mi hendrerit, varius orci nec, vulputate velit. Quisque feugiat fringilla arcu. Phasellus id dolor eget ex sagittis pulvinar. Morbi ornare placerat nisl, a luctus nisi maximus non. In in dignissim diam. Vestibulum rutrum rhoncus sapien, id consectetur lorem sodales id. Vestibulum at magna ac magna faucibus vestibulum eget ut lacus. Morbi vel mauris sit amet erat venenatis elementum. Integer venenatis elit id semper tincidunt. Suspendisse a nunc mauris. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Pellentesque egestas, diam a vehicula congue, ipsum massa suscipit erat, et dapibus elit ipsum id dolor. Maecenas semper ut purus eu auctor. Mauris auctor id urna ac ultricies. In aliquam, magna sit amet suscipit suscipit, orci nulla malesuada urna, in vehicula dui sapien vel purus.",negative,2022-03-31,9,9
"Ut ex lorem, elementum non nisl vel, porta condimentum nunc. Integer dictum id justo nec facilisis. Praesent in ligula non lectus vulputate fringilla eu vitae lorem. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec scelerisque mauris at venenatis euismod. Nunc scelerisque, ante vitae semper vestibulum, ante mauris feugiat nunc, ut molestie eros dui nec neque. Nunc dictum nulla at velit consectetur varius a vel leo. Praesent aliquet leo elit, in finibus augue mollis facilisis. Sed pretium ac erat a accumsan. Duis dapibus leo nulla, eget sagittis justo mollis in.",negative,2022-04-13,10,10
